t_seconds,0x0030,0x0031,0x0032,0x0033,0x0034,0x0035,0x0036,0x0037,0x0038,0x0039,0x003A,0x003B,0x003C,0x003D,0x003E,0x003F,0x0040,0x0041,0x0042,0x0043,0x0044,0x0045,0x0046,0x0047,0x0048,0x0049,0x004A,0x004B,0x004C,0x004D,0x004E,0x004F,0x0050
10.4169,794,3096,3873,786,13,2049,11,12,12,15,0,0,0,0,0,0,2417,0,0,0,0,0,0,1875,2947,6,0,6,299,12,1113,-96,0
10.5114,794,3096,3873,881,13,2049,11,12,12,14,0,0,0,0,0,0,2436,0,0,0,0,0,0,1830,2870,6,0,6,298,12,1056,-76,0
10.6058,794,3096,3873,971,13,2049,11,13,11,12,0,0,0,0,0,0,2417,0,0,0,0,0,0,1823,2998,6,0,6,304,12,1104,-81,0
10.6985,794,3096,4129,66,13,2049,11,12,12,14,0,0,0,0,0,0,2424,0,0,0,0,0,0,1757,2909,6,0,6,298,12,978,-86,0
10.7928,794,3096,4129,161,13,2049,11,12,12,14,0,0,0,0,0,0,2430,0,0,0,0,0,0,1757,2909,6,0,6,298,12,978,-86,0
10.8872,794,3096,4129,256,13,2049,11,11,12,14,0,0,0,0,0,0,2430,0,0,0,0,0,0,1756,2942,6,0,6,287,11,913,-54,0
10.9816,794,3096,4129,346,13,2049,11,12,12,14,0,0,0,0,0,0,2417,0,0,0,0,0,0,1816,2860,6,0,6,291,12,935,21,0
11.0758,794,3096,4129,441,13,2049,11,13,13,13,0,0,0,0,0,0,2436,0,0,0,0,0,0,1948,3004,6,0,6,303,13,1058,78,0
11.1699,794,3096,4129,536,13,2049,11,13,13,13,0,0,0,0,0,0,2430,0,0,0,0,0,0,1884,3025,6,0,6,299,12,1066,-9,0
11.2642,794,3096,4129,631,13,2049,11,13,12,13,0,0,0,0,0,0,2424,0,0,0,0,0,0,1882,3099,6,0,6,288,12,1070,-95,0
11.3587,794,3096,4129,721,13,2049,11,12,12,12,0,0,0,0,0,0,2424,0,0,0,0,0,0,1814,2885,6,0,6,288,12,997,-107,0
11.4532,794,3096,4129,816,13,2049,11,12,12,13,0,0,0,0,0,0,2417,0,0,0,0,0,0,1790,3147,6,0,6,284,12,1035,-96,0
11.5475,794,3096,4129,911,13,2049,11,12,12,12,0,0,0,0,0,0,2424,0,0,0,0,0,0,1875,3062,6,0,6,280,12,1034,67,0
